method,image,condition,loss,mse,dice,iou,beta0_error,beta1_error,topology_exact,boundary_f
Input,1375,component_dropout,0.085500724,0.00537109375,0.955600404,0.914975845,1,0,0,0.895027624
Validation best,1375,component_dropout,0.085500724,0.00537109375,0.955600404,0.914975845,1,0,0,0.895027624
Action-coordinate selector,1375,component_dropout,0.085500724,0.00537109375,0.955600404,0.914975845,1,0,0,0.895027624
Direct-output selector,1375,component_dropout,0.0874663279,0.00592041016,0.950961052,0.906526918,1,0,0,0.893180874
Input,1395,component_dropout,0.108821975,0.0287475586,0.908985507,0.833156217,1,0,0,0.885799404
Validation best,1395,component_dropout,0.108821975,0.0287475586,0.908985507,0.833156217,1,0,0,0.885799404
Action-coordinate selector,1395,component_dropout,0.108821975,0.0287475586,0.908985507,0.833156217,1,0,0,0.885799404
Direct-output selector,1395,component_dropout,0.110822466,0.0300048828,0.904612943,0.825859015,1,0,0,0.882909594
Input,1420,component_dropout,0.0616530659,0.0127563477,0.977245509,0.955503513,1,0,0,0.93346574
Validation best,1420,component_dropout,0.161762578,0.012878418,0.977032764,0.955096829,1,1,0,0.932405567
Action-coordinate selector,1420,component_dropout,0.161762578,0.012878418,0.977032764,0.955096829,1,1,0,0.932405567
Direct-output selector,1420,component_dropout,0.212871492,0.0141113281,0.974876934,0.95098866,2,1,0,0.923339713
Input,1423,component_dropout,0.0672666593,0.000549316406,0.998774677,0.997552352,1,0,0,0.986175115
Validation best,1423,component_dropout,0.0672666593,0.000549316406,0.998774677,0.997552352,1,0,0,0.986175115
Action-coordinate selector,1423,component_dropout,0.0672666593,0.000549316406,0.998774677,0.997552352,1,0,0,0.986175115
Direct-output selector,1423,component_dropout,0.0682273826,0.00142822266,0.996812322,0.99364528,1,0,0,0.981782768
Input,1433,component_dropout,0.116047809,0.0264892578,0.889791772,0.801463861,1,0,0,0.836363636
Validation best,1433,component_dropout,0.116047809,0.0264892578,0.889791772,0.801463861,1,0,0,0.836363636
Action-coordinate selector,1433,component_dropout,0.116047809,0.0264892578,0.889791772,0.801463861,1,0,0,0.836363636
Direct-output selector,1433,component_dropout,0.116712615,0.0268310547,0.888300657,0.799049092,1,0,0,0.836363636
Input,1449,component_dropout,0.137987748,0.0615234375,0.852459016,0.742857143,1,0,0,0.860887097
Validation best,1449,component_dropout,0.137987748,0.0615234375,0.852459016,0.742857143,1,0,0,0.860887097
Action-coordinate selector,1449,component_dropout,0.137987748,0.0615234375,0.852459016,0.742857143,1,0,0,0.860887097
Direct-output selector,1449,component_dropout,0.138990813,0.0624389648,0.850409117,0.739755617,1,0,0,0.850862856
Input,1485,component_dropout,0.0670257166,0.000549316406,0.999377033,0.998754842,1,0,0,0.989449004
Validation best,1485,component_dropout,0.0670257166,0.000549316406,0.999377033,0.998754842,1,0,0,0.989449004
Action-coordinate selector,1485,component_dropout,0.0670257166,0.000549316406,0.999377033,0.998754842,1,0,0,0.989449004
Direct-output selector,1485,component_dropout,0.0674169637,0.00114746094,0.998697988,0.997399444,1,0,0,0.989449004
Input,1519,component_dropout,0.0676912351,0.00134277344,0.998109966,0.996227062,1,0,0,0.974117647
Validation best,1519,component_dropout,0.0676912351,0.00134277344,0.998109966,0.996227062,1,0,0,0.974117647
Action-coordinate selector,1519,component_dropout,0.0676912351,0.00134277344,0.998109966,0.996227062,1,0,0,0.974117647
Direct-output selector,1519,component_dropout,0.0683149255,0.00216064453,0.996959675,0.993937855,1,0,0,0.974117647
Input,1553,component_dropout,0.0819077803,0.0163574219,0.970075927,0.94189072,1,0,0,0.910344828
Validation best,1553,component_dropout,0.0819077803,0.0163574219,0.970075927,0.94189072,1,0,0,0.910344828
Action-coordinate selector,1553,component_dropout,0.0819077803,0.0163574219,0.970075927,0.94189072,1,0,0,0.910344828
Direct-output selector,1553,component_dropout,0.0825093516,0.0169921875,0.968889382,0.939657059,1,0,0,0.910344828
Input,1580,component_dropout,0.0672880327,0.000793457031,0.998843313,0.9976893,1,0,0,0.986125934
Validation best,1580,component_dropout,0.0672880327,0.000793457031,0.998843313,0.9976893,1,0,0,0.986125934
Action-coordinate selector,1580,component_dropout,0.0672880327,0.000793457031,0.998843313,0.9976893,1,0,0,0.986125934
Direct-output selector,1580,component_dropout,0.0677664248,0.00140380859,0.997952509,0.995913479,1,0,0,0.986125934
Input,1614,component_dropout,0.0671505274,0.0009765625,0.999278629,0.998558299,1,0,0,0.983739837
Validation best,1614,component_dropout,0.0671505274,0.0009765625,0.999278629,0.998558299,1,0,0,0.983739837
Action-coordinate selector,1614,component_dropout,0.0671505274,0.0009765625,0.999278629,0.998558299,1,0,0,0.983739837
Direct-output selector,1614,component_dropout,0.0672836652,0.00124511719,0.999080062,0.998161831,1,0,0,0.983739837
Input,1617,component_dropout,0.0678326922,0.000732421875,0.997451147,0.994915254,1,0,0,0.982035928
Validation best,1617,component_dropout,0.168317004,0.00103759766,0.996392956,0.992811839,1,1,0,0.957055215
Action-coordinate selector,1617,component_dropout,0.168317004,0.00103759766,0.996392956,0.992811839,1,1,0,0.957055215
